key,token
Clc1ccsc1,0
C[C@@H](O)CO,0
C1COCN1,0
O[C@@H]1[C@@H](O)[C@H](O)OC[C@H]1O,0
O=[P@]([O-])(O[P@](=O)([O-])O[P@](=O)([O-])O)O[P@@](=O)([O-])O[P@](=O)([O-])O,0
O[C@H]1CCNC[C@@H]1O,0
O=[P+](=O)([O-])C(F)F,0
O=c1cccccc1,0
C1=CCCCC=C1,0
C1=CNCCC1,0
CC[P@@](=O)([O-])C[C@@H](C)C=O,0
Cc1cc(=O)[nH]o1,0
O[C@@H]1C=CCCC1,0
C[C@@H]1C[C@@H](O)[C@@H](O)CO1,0
CCCCCCCCCCCCCC(=O)[O-],0
CC[P@](=O)([O-])O,0
O[C@H]1CCC[NH2+]C1,0
O[C@@H]1COCC[C@@H]1O,0
CCCCCCCCCCCC(=O)[O-],0
O[C@@H]1CC=NC[C@H]1O,0
CC(C)(C)[C@@H](O)C=O,0
C1CCC1,0
O[C@@H]1C[C@H](O)OC[C@@H]1O,0
CC[C@@H](O)C[C@H](C=O)C(C)C,0
[NH3+][C@H]1CC=CCC1,0
C[C@H](O)[C@H](O)[C@H](O)CO,0
Cc1ccc(C)c(O)c1C,0
CC[P+](=O)(=O)[O-],0
NC=S,0
CN1CCNS1(=O)=O,0
C[N@H+]1CC=CCC1,0
CCCCCCCCC(=O)[O-],0
CCCCCCCCC,0
CC1C=CC(=O)CC1C,0
Cc1cc[nH]c(=O)c1,0
CC1CC(=O)N(C)C(=[NH2+])N1,0
CCCCCCCCCCCCCC,0
C1CO1,0
CC[P@](=O)([O-])C[C@@H](C)C=O,0
Cc1cncnc1,0
Clc1ccc(Cl)cc1,0
CC[C@@H](C=O)C[C@@H](C)O,0
CC1=[NH+]C=CC(N)=C1,0
CC(C)CC[C@@H](O)CC(=O)[O-],0
O=c1cc(O)cc[nH]1,0
Cc1cc[nH]n1,0
CC1CCNCC1,0
CC1C(O)CCC[C@H]1O,0
C[C@H]1C=CCCC1,0
C[C@H]1CCC=CN1,0
O=C1CNCCN1,0
O=S1(=O)C=CCCCN1,0
CCCN(O)C(C)=O,0
C[C@@H]1C=CCCC1,0
Clc1cnc[nH]1,0
CC1CCC[NH2+]1,0
O=C1CCC=CC=COCCCNC(=O)CN1,0
CC1CCCC(=O)C1,0
CC=C[SH](=O)=O,0
CC(C)CC[C@@H](O)C[C@@H](C)C=O,0
CC1CCC[C@]1(C)O,0
CC1C=CCCC1,0
CC1CCC(Cl)[C@@H](O)C1,0
CC1CCCCC1Cl,0
CC1CC[C@@H](C)C1,0
OC1CC=CCC1,0
C[C@@H]1CCCNC1=O,0
O=P(O)(O)CO,0
Cc1cc(=O)[nH][nH]1,0
Cn1nccc1N,0
CCCS(=O)(=O)[O-],0
O[C@@H]1CCO[C@H](O)C1,0
OC1[C@H](O)CNC[C@H]1O,0
C[C@@H](O)CCO,0
[NH2+]=c1cc[nH]c(=O)[nH]1,0
[NH3+][C@@H](CC(=O)[O-])C(=O)[O-],0
Cc1cccc(C)c1O,0
C[C@@H](O)C(=O)[O-],0
O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O,0
O=S1(=O)C=CNCN1,0
O[C@H]1COC[C@H](O)C1,0
C1COCCO1,0
O=C1CCN=CN1,0
CC(C)[NH3+],0
CCCCC(C)=O,0
Cc1c[nH]cn1,0
CCC#N,0
C1CNCN1,0
CCCCCCCCCC=O,0
O=C1NCC[C@@H](O)[C@@H]1O,0
[NH3+][C@H](C=O)CC(=O)[O-],0
Cc1ccc(O)c(O)c1,0
Cc1ccc(C)c(C)c1,0
O=C([O-])[P+](=O)(=O)[O-],0
Oc1ccc(I)cc1I,0
O[C@@H]1CCCO[C@@H]1O,0
O=C([O-])CC(=O)[O-],0
O=C1CCCO1,0
C[n+]1ccccc1,0
O=c1ccocc1O,0
CC1=CSCN1,0
O[C@@H]1[C@H](O)CCO[C@H]1O,0
O=CC(Cl)Cl,0
C[C@H]1[NH2+]CCS1,0
CCCCCCCC=O,0
CC[C@H](C)[C@H]([NH3+])C=O,0
C[C@@H]([NH3+])C(=O)[O-],0
CCCCCCCCN,0
O=C1NC=CCN1,0
CC1CCOC1=O,0
Cc1ccccc1F,0
Cn1cccc1,0
O=[P+](=O)([O-])CO,0
OC1CCC[NH2+]C1,0
[NH3+][C@H]1C=COCC1,0
C[C@@H]1CNC[C@H](C)C1,0
CC1=N[C@H](C)[C@H](C)N1,0
O=C([O-])C[C@H](O)C(=O)[O-],0
O=c1cn[nH]c(=O)[nH]1,0
NC(=O)CCC(=O)[O-],0
C[C@@H]1OCC[C@H]([NH3+])[C@@H]1O,0
C1=CCSCC1,0
CC1CCCC[C@@H](C)C1,0
C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](C)O,0
Nc1cccc(Cl)c1,0
O[C@@H]1C[C@@H](O)[C@H](O)[C@@H](O)C1,0
[NH2+]=C1NCCC(=O)N1,0
O=[P@]1([O-])OCCCO[P@](=O)([O-])OCCCO1,0
Cc1ccno1,0
C1CCC[NH2+]CC1,0
CC1(C)CCCCC=CC=NC(=O)OCCNC(=O)CNC(=O)OC1,0
CC1C=CCC1,0
C[C@@H]1COCO1,0
Cc1nnc[nH]1,0
Oc1cccnc1,0
NC(N)=S,0
CC(C)CC[P@@](=O)([O-])O,0
Nc1nccc(Cl)n1,0
CC1CC[NH2+]C1,0
O=C1N=NC(=O)N1,0
C1=CCN=NC1,0
[NH3+][C@@H](CS)C(=O)[O-],0
